date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2020-03-01,129667.95458078533,2659.3547173470047,2210.395537457684,615,442,136,189,121,34,0,0,0,0
2020-03-02,129833.40826616915,2375.8492228415103,4381.194220756367,674,925,506,332,288,111,0,0,0,0
2020-03-03,128963.89625508728,3511.6822096744972,4065.5436677643506,761,311,423,280,292,118,0,0,0,0
2020-03-04,128555.17022510846,3656.817637785535,3199.4746279272795,902,337,361,284,243,109,6,0,0,0
2020-03-05,128584.3697449517,3228.6741477705145,4220.117765182182,878,756,349,383,391,180,4,0,0,0
2020-03-06,128287.08171704857,3922.8297372790453,3890.831980868456,1104,679,298,314,317,147,9,0,0,0
2020-03-07,128559.80431006046,4163.554573880352,1766.730549892025,693,231,143,123,100,31,3,0,0,0
2020-03-08,129283.36177961557,2490.2880194471313,2068.0344093390295,660,465,141,184,163,52,5,0,0,0
2020-03-09,129435.21877874057,2219.8914084640282,4323.195000472035,755,1025,641,297,340,177,17,0,0,0
2020-03-10,128797.44277293945,3685.418994670925,3873.192072150356,951,382,664,279,384,180,20,0,0,0
2020-03-11,128555.72894454427,3631.478243755174,4276.322614022278,1063,486,525,437,420,192,20,0,0,0
2020-03-12,127904.96298150213,3625.556650980133,3730.9940425937057,914,532,373,382,354,232,21,0,0,0
2020-03-13,127668.11262692559,3494.14368801717,3864.407332115429,970,625,383,387,378,190,25,0,0,0
2020-03-14,127131.73564056942,3328.0303457592495,1779.9249145330116,624,239,122,134,123,49,6,0,0,0
2020-03-15,128118.05059560518,2259.2398695687734,2093.3896094206284,601,346,132,192,156,57,8,0,0,0
2020-03-16,127978.952097599,1954.2911114144524,4986.099754348164,696,1041,775,545,515,242,36,0,0,0
2020-03-17,125342.8409184334,2349.9885751825686,4629.264971739469,731,414,782,633,487,338,62,0,0,0
2020-03-18,122869.95543096741,2156.3794842734774,4065.1575105731845,647,386,514,479,591,258,45,0,0,0
2020-03-19,120693.57911080471,1888.7811904104778,3968.109891525565,585,394,376,536,604,325,60,0,0,0
2020-03-20,118430.36945730867,1704.9002380295253,3625.5947400104137,587,328,290,520,553,257,46,0,0,0
2020-03-21,116366.3264704793,1561.5517531810406,1285.9336288993027,366,117,84,121,137,68,14,0,0,0
2020-03-22,116245.60065536709,1165.2078137871013,1239.1774791666824,287,118,53,123,138,80,23,0,0,0
2020-03-23,115934.3438242121,927.9206480117001,3457.28412826157,403,460,347,423,431,304,53,0,0,0
2020-03-24,113758.84267487531,1281.7829789247696,3299.232234322176,421,167,262,366,540,373,62,0,0,0
2020-03-25,111860.92199090647,1401.3115503533409,2839.8869962269378,452,151,219,295,442,329,64,0,0,0
2020-03-26,110210.63225931859,1189.5972646390553,2521.0949327348744,368,172,154,238,428,271,51,0,0,0
2020-03-27,108968.09173407992,1278.554407496198,2425.053266068208,413,176,117,204,376,244,49,0,0,0
2020-03-28,107773.63454217456,1230.5960741628649,901.8522559671976,258,75,34,46,96,45,13,0,0,0
2020-03-29,107948.25260279448,1076.4703165871072,981.8946802096219,275,100,44,55,72,60,8,0,0,0
2020-03-30,107902.17066341439,935.8127408295314,2282.005791320733,333,399,185,153,252,237,52,0,0,0
2020-03-31,106734.4887240343,1111.3238519406425,2242.1748734463367,343,165,150,118,315,273,73,0,0,0
2020-04-01,105668.91095132088,1176.597100732913,2484.7443178907815,396,163,169,169,361,229,86,0,0,0
2020-04-02,104398.22206749635,1214.0554340662463,2215.1847940812577,357,165,121,147,341,253,66,2,0,0
2020-04-03,103472.94092176705,1166.9036483519608,2085.6150971115608,396,151,107,125,290,281,57,3,0,0
2020-04-04,102460.5749275529,1073.2491028974152,918.6012082226716,275,68,34,43,71,60,12,0,0,0
2020-04-05,102441.50258413241,899.5288648021772,880.734541556005,219,76,33,36,61,65,23,1,0,0
2020-04-06,102393.66357404525,832.8955314688438,2006.2275971115605,305,308,181,106,205,252,56,7,0,0
2020-04-07,101469.14400840252,1081.7080314688437,1898.6947688287323,327,143,159,105,201,251,73,6,0,0
2020-04-08,100705.15727104264,1134.7080314688437,1827.7347553603881,411,135,128,106,173,230,71,9,0,0
2020-04-09,100023.66900858445,1146.2464929021892,2062.9724898523077,349,171,94,130,216,237,78,4,0,0
2020-04-10,99352.95565250462,1392.2591337724941,1615.4469764767941,370,128,71,72,139,178,55,6,0,0
2020-04-11,99071.1059966135,1333.597320585681,720.6130268615946,269,86,27,25,31,54,16,3,0,0
2020-04-12,99394.70997528228,1044.217005530366,740.4289359525036,275,120,26,18,24,52,10,4,0,0
2020-04-13,99565.69198425408,911.4109449243053,1946.2231894632205,354,396,183,98,123,195,92,13,0,0
2020-04-14,98722.04053055035,1102.5717357594865,1815.5072803723115,392,144,154,112,140,263,87,15,0,0
2020-04-15,98091.6625616951,1185.1293115170622,1724.6656137056448,371,148,128,100,142,232,97,16,0,0
2020-04-16,97550.27625950651,1183.279311517062,1807.8177504577816,409,204,98,97,144,237,76,17,0,0
2020-04-17,96976.26891030939,1233.8104012606518,1720.6927504577816,446,153,101,86,124,248,62,12,0,0
2020-04-18,96567.38656111226,1311.8104012606518,803.4066393466704,340,57,43,34,27,72,18,2,0,0
2020-04-19,96858.5202833437,1094.5403615781122,822.3233060133371,296,103,24,29,19,70,23,2,0,0
2020-04-20,96998.44567224181,962.2486949114456,1786.2036792437104,370,359,153,101,104,168,75,17,0,0
2020-04-21,96574.48367375253,1362.2416807544314,1734.4051047789594,456,153,155,121,103,204,80,14,0,0
2020-04-22,96225.96212917208,1385.8835601985168,1684.2859850098396,450,169,152,113,101,169,86,19,0,0
2020-04-23,95940.8513349524,1319.1751907901473,1647.9036617775164,432,170,120,97,120,172,98,19,0,0
2020-04-24,95667.97455949172,1375.0268863168428,1687.0078915299798,500,203,116,103,96,167,85,23,0,0
2020-04-25,95546.23567756626,1565.2690096045142,828.0507334103216,400,78,47,33,28,64,26,5,0,0
2020-04-26,95966.57574863224,1248.3908044763089,849.8848243194125,343,110,32,28,28,37,35,11,0,0
2020-04-27,96226.07869848612,1109.3877741732786,1966.6981360077243,430,477,156,108,125,137,92,27,0,0
2020-04-28,95650.6564679648,1391.27590548641,1726.9121802967686,411,201,182,119,104,138,87,29,0,0
2020-04-29,95425.10022978447,1501.3559421164466,1948.7319903831446,479,180,141,142,114,139,102,20,0,0
2020-04-30,94949.75149880552,1473.3832594041824,1826.8986570498112,461,239,112,151,116,144,99,25,0,0
2020-05-01,94663.61110115988,1540.7582594041824,1736.3237416426377,514,199,126,121,108,139,72,33,0,0
2020-05-02,94425.280639725,1497.9932802077515,909.4750236939199,411,108,47,44,33,40,34,9,0,0
2020-05-03,94907.21599025592,1391.4103742248456,903.4137588717855,403,116,56,26,24,35,29,10,0,0
2020-05-04,95252.01906147196,1248.2168300878232,2016.7748089328354,470,492,217,124,101,112,125,31,0,0
2020-05-05,94823.93508172726,1588.690829188138,1769.28175337728,481,216,185,134,115,103,98,34,0,0
2020-05-06,94662.8094353159,1608.1561069659158,1578.7460390915658,486,190,126,102,118,101,87,22,0,0
2020-05-07,94725.44028241103,1641.376886186695,1782.082186277713,479,217,144,152,120,142,87,47,0,0
2020-05-08,95185.86598881352,1675.5078926802016,1765.1177220920276,623,250,116,116,89,93,82,28,0,0
2020-05-09,95057.27476879617,1636.526502074683,899.9510554253611,406,117,42,40,34,29,27,10,0,0
2020-05-10,95587.10021544549,1429.776502074683,872.0934796677853,394,152,38,34,30,19,23,3,0,0
2020-05-11,95970.07111664028,1255.0643808625618,2534.922585284391,518,446,290,149,112,113,101,48,0,0
2020-05-12,95453.29267412321,2018.1441427673237,1852.2497026115084,511,156,258,116,120,87,114,33,0,0
2020-05-13,95302.56862166052,1701.5256501488311,1859.2905756273813,541,214,246,158,115,83,115,41,0,0
2020-05-14,95328.33068030897,1885.0526342758153,1838.3193246561302,552,212,176,147,118,113,102,44,0,0
2020-05-15,95350.55677492142,1860.5454192686002,1751.3193246561302,626,223,113,131,101,77,82,42,0,0
2020-05-16,95608.38135438238,2009.143904117085,1024.3732207600265,501,118,58,48,38,31,22,8,0,0
2020-05-17,96171.24034942775,1587.2322158053967,1098.1296310164366,465,166,58,54,34,21,34,15,0,0
2020-05-18,96471.03267780646,1397.9219593951402,2301.9688123029864,553,558,299,165,105,90,103,40,0,0
2020-05-19,95978.68611729627,1809.622251792801,1983.4569075410816,578,173,268,195,130,95,113,61,0,0
2020-05-20,96091.25622345276,2096.0270136975632,2114.450738709913,610,238,189,170,125,93,142,80,0,0
2020-05-21,98129.25987939279,1927.454394649944,2107.325223946898,601,277,165,181,145,114,149,79,0,0
2020-05-22,98056.23424517852,2034.299589732639,1970.7059931776673,657,328,139,158,149,120,107,94,0,0
2020-05-23,98223.37069887636,2137.842446875496,1121.3134607101347,547,115,64,55,54,28,24,21,0,0
2020-05-24,98894.67995389567,1792.6227157294493,1173.819870966545,521,146,73,41,54,12,16,14,0,0
2020-05-25,99299.87168754746,1579.0116046183382,1145.6865376332116,360,163,67,44,43,11,32,6,0,0
2020-05-26,99731.70151643736,1577.5163665231,2496.511537633212,492,458,433,151,181,93,80,56,0,0
2020-05-27,99298.6161938121,2063.4262150079485,2036.2004774971515,672,197,242,159,175,83,94,62,0,0
2020-05-28,99257.53965631228,1995.1239399973401,2311.0789573506313,622,368,196,231,221,106,75,71,0,0
2020-05-29,99075.31931261867,2128.858613657014,2182.198004969679,680,338,184,165,184,116,68,83,0,0
2020-05-30,99030.78944511552,2137.6681374665377,1119.948004969679,578,128,65,42,65,13,24,25,0,0
2020-05-31,99611.35957761238,1700.5181374665376,1213.370624017298,534,151,59,50,70,24,29,34,0,0
2020-06-01,99984.56661487115,1586.5776612760615,2554.9179924383507,667,580,323,163,175,73,72,78,0,0
2020-06-02,99305.59295037552,1875.9443279427283,2197.5089015292597,651,236,295,168,175,89,72,91,0,0
2020-06-03,99023.39706365767,1915.313014811415,2476.217234862593,654,239,247,252,232,136,103,137,0,0
2020-06-04,98713.25680464545,2166.076975850376,1949.4257708902817,647,236,185,136,182,97,48,84,0,0
